spotify_id,name,artists,popularity,is_explicit,duration,album_name,album_release_date,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature
4OoExItZJ0jePoCZDbHx4t,說好的幸福呢,Jay Chou,59,FALSE,256.72,魔杰座,2008/10/15,0.545,0.45,9,-7.964,0,0.0279,0.361,0,0.131,0.228,117.656,4
1k1Bqnv2R0uJXQN4u6LKYt,Ain't No Sunshine,Bill Withers,87,FALSE,125.093,Just As I Am,1971/5/1,0.527,0.415,4,-11.451,0,0.122,0.457,0.0000172,0.117,0.515,78.169,4
3LUi9n9mMOR1eK3kle7oCe,Combo,RIIZE,34,FALSE,219.551,RIIZING : Epilogue - The 1st Mini Album,2024/9/3,0.571,0.842,10,-3.943,1,0.0697,0.00394,0,0.0617,0.257,140.056,4
1dY5W7IZHUSpvTuCUWeXNE,BAHAMA,aespa,56,FALSE,190.533,Armageddon - The 1st Album,2024/5/27,0.766,0.781,2,-5.469,1,0.0431,0.155,0.000192,0.101,0.657,120.024,4
6tVahG14lCjexVQnYWKgwF,liMOusIne (feat. AURORA),"Bring Me The Horizon, AURORA",45,FALSE,251.939,POST HUMAN: NeX GEn,2024/5/24,0.517,0.915,6,-3.174,1,0.0942,0.00385,0.000648,0.234,0.381,122.052,4
7iQMm50NNwlUIRWhONZR2k,Wind Up Missin’ You,Tucker Wetmore,78,TRUE,166.04,Wind Up Missin’ You,2024/3/29,0.572,0.722,6,-5.818,1,0.0363,0.512,0.00000112,0.124,0.636,171.857,4
3IkFdpysX1QSvdc46gbq7g,Who Doesn’t Wanna,Yoga Lin,46,FALSE,245.108,"Love, Lord",2024/3/19,0.556,0.317,1,-10.084,1,0.0349,0.679,0,0.0887,0.365,139.955,4
13t6ysw3FUR0yJvTx4qCIU,Is it me?,Number_i,49,FALSE,178.144,GOAT,2024/3/6,0.715,0.906,0,-3.396,1,0.0497,0.229,0,0.317,0.859,117.987,4
1T6xi2QrnmwaebXGvWAjLg,WAY 4 LUV,PLAVE,61,FALSE,219.453,ASTERUM : 134-1,2024/2/26,0.668,0.851,9,-5.022,1,0.0452,0.0142,0,0.114,0.503,127.035,4
50SxWFCvmZCYcpKWPZECES,Birds In The Sky,NewEra,71,FALSE,133.548,Birds In The Sky,2023/12/8,0.636,0.716,2,-5.615,0,0.0325,0.0316,0.0837,0.343,0.393,123.97,4
2Gk6fi0dqt91NKvlzGsmm7,SAY MY GRACE (feat. Travis Scott),"Offset, Travis Scott",80,TRUE,173.253,SET IT OFF,2023/10/13,0.773,0.635,10,-5.06,1,0.0452,0.0585,0,0.132,0.476,121.879,4
53IRnAWx13PYmoVYtemUBS,Femininomenon,Chappell Roan,85,TRUE,219.71,The Rise and Fall of a Midwest Princess,2023/9/22,0.609,0.758,0,-4.885,0,0.0525,0.139,0.00000538,0.11,0.236,124.949,4
1qRfAvzRIJQodWKBNFAb6C,"Smoke (Prod. Dynamicduo, Padi)","Dynamicduo, Lee Young Ji",77,FALSE,209.546,Street Woman Fighter2 (SWF2) Class Mission,2023/9/5,0.768,0.818,11,-4.057,0,0.328,0.0317,0.00000135,0.0908,0.769,98.015,4
0caJ2wkqp4UmXBwdR2JvB5,Dial Drunk,Noah Kahan,80,TRUE,213.817,Stick Season (We'll All Be Here Forever),2023/6/9,0.693,0.595,8,-7.578,1,0.0311,0.0969,0,0.113,0.646,112.02,4
0bMoNdAnxNR0OuQbGDovrr,ANTIFRAGILE,LE SSERAFIM,80,FALSE,184.444,UNFORGIVEN,2023/5/1,0.879,0.784,10,-3.944,0,0.081,0.0759,0,0.125,0.83,105.019,4
4NIe9Is7bN5JWyTeCW2ahK,VIBE (feat. Jimin of BTS),"TAEYANG, Jimin",71,FALSE,175.775,Down to Earth,2023/4/25,0.787,0.671,0,-5.6,1,0.0572,0.0936,0,0.249,0.591,100.078,4
1xzi1Jcr7mEi9K2RfzLOqS,CUFF IT,Beyoncé,83,TRUE,225.388,RENAISSANCE,2022/7/29,0.78,0.689,7,-5.668,1,0.141,0.0368,0.00000969,0.0698,0.642,115.042,4
2vMc8rqFmqs7RFi8NDx0CJ,Garden,Fujii Kaze,61,FALSE,229.333,LOVE ALL SERVE ALL,2022/3/23,0.589,0.527,4,-8.332,1,0.0572,0.0932,0.000337,0.104,0.576,138.023,4
5T7ZFtCcOgkpjxcuaeZbw0,Best Song Ever,One Direction,75,FALSE,200.106,Midnight Memories (Deluxe),2013/11/25,0.652,0.877,1,-2.986,1,0.0465,0.0227,0,0.0789,0.486,118.491,4
5j0McHPthKpOXRr3fBq8M0,Love in This Club (feat. Young Jeezy),"USHER, Jeezy",77,FALSE,259.72,Here I Stand,2008/5/27,0.573,0.712,0,-5.976,1,0.0732,0.0572,0,0.167,0.346,140.012,4
2lIb7a074DL4RLCPAaGdnu,楓,Jay Chou,54,FALSE,277.026,11月的蕭邦,2005/11/1,0.498,0.442,0,-7.19,1,0.0284,0.753,0,0.135,0.143,134.382,4
